customer_id,name,email,age
1,Customer_1,user1@example.com,56
2,Customer_2,user2@example.com,69
3,Customer_3,user3@example.com,46
4,Customer_4,user4@example.com,32
5,Customer_5,user5@example.com,60
6,Customer_6,user6@example.com,25
7,Customer_7,user7@example.com,38
8,Customer_8,user8@example.com,56
9,Customer_9,user9@example.com,36
10,Customer_10,user10@example.com,40
11,Customer_11,user11@example.com,28
12,Customer_12,user12@example.com,28
13,Customer_13,user13@example.com,41
14,Customer_14,user14@example.com,53
15,Customer_15,user15@example.com,57
16,Customer_16,user16@example.com,41
17,Customer_17,user17@example.com,20
18,Customer_18,user18@example.com,39
19,Customer_19,user19@example.com,19
20,Customer_20,user20@example.com,41
