transaction_id,user_id,product_id,shop_id,quantity,unit_price,total_amount,discount_percent,discount_amount,tax_percent,tax_amount,final_amount,payment_method,transaction_status,transaction_date,transaction_ts,delivery_date,delivery_address,notes
1,200,1868,8,3,2500.0,7500.0,5,375.0,8,570.0,7695.0,Credit Card,Completed,2024-06-12,2024-06-12 03:57:16.802800,2024-06-18 03:57:16.802800,"90834 Andrea Loaf, Lauraport, TX 50924",Order for Minimalist Wide Leg Polos
2,200,889,11,3,12500.0,37500.0,0,0.0,8,3000.0,40500.0,Credit Card,Completed,2024-10-22,2024-10-22 07:45:43.585170,2024-10-28 07:45:43.585170,"90834 Andrea Loaf, Lauraport, TX 50924",Order for Structured Statement Coats
3,55,85,9,3,12500.0,37500.0,0,0.0,8,3000.0,40500.0,Digital Wallet,Completed,2024-10-22,2024-10-22 17:52:03.165899,2024-10-29 17:52:03.165899,"5038 Chapman Plaza, Mcculloughland, GA 50825",Order for Statement Vintage Denim Jackets
4,295,1027,23,2,6000.0,12000.0,0,0.0,8,960.0,12960.0,Credit Card,Completed,2024-08-16,2024-08-16 22:17:24.772308,2024-08-23 22:17:24.772308,"943 Mary Locks Apt. 303, Mcphersonshire, MI 09670",Order for Edgy Sporty Sweatshirts
5,426,2311,12,1,4000.0,4000.0,0,0.0,8,320.0,4320.0,Credit Card,Completed,2024-10-14,2024-10-14 00:00:20.573230,2024-10-17 00:00:20.573230,"PSC 4238, Box 3323, APO AE 52683",Order for Refined Vintage Track Pants
6,239,283,11,3,4000.0,12000.0,0,0.0,8,960.0,12960.0,COD,Completed,2024-02-19,2024-02-19 21:53:08.985198,2024-02-24 21:53:08.985198,"17636 Lewis Gardens Suite 735, South Krista, GU 16864",Order for Statement Retro Sweatshirts
7,43,201,13,1,11500.0,11500.0,0,0.0,8,920.0,12420.0,Bank Transfer,Completed,2024-05-24,2024-05-24 00:51:04.598251,2024-05-27 00:51:04.598251,"461 Harvey Valleys, North Danielberg, MP 77233",Order for Neutral Comfy Coats
8,322,633,12,1,5000.0,5000.0,15,750.0,8,340.0,4590.0,COD,Completed,2024-07-28,2024-07-28 03:22:05.415036,2024-08-03 03:22:05.415036,"299 Fernando Fork Apt. 107, East Cristian, DE 60796",Order for Luxury Elegant Track Pants
9,409,689,24,2,4500.0,9000.0,0,0.0,8,720.0,9720.0,Debit Card,Completed,2024-06-23,2024-06-23 14:05:13.969236,2024-06-29 14:05:13.969236,"089 Knight Ranch Suite 833, East Thomasmouth, UT 79582",Order for Lightweight Camo Sweatshirts
10,174,1243,14,3,3500.0,10500.0,0,0.0,8,840.0,11340.0,Debit Card,Completed,2024-04-30,2024-04-30 00:25:12.350876,2024-05-05 00:25:12.350876,"673 Shepherd Greens, Port Jonathanville, AK 09457",Order for Heritage Heritage Track Pants
11,301,2324,20,2,5000.0,10000.0,0,0.0,8,800.0,10800.0,Credit Card,Completed,2024-06-22,2024-06-22 13:12:39.558331,2024-06-28 13:12:39.558331,"905 Nelson Circles, Thomashaven, RI 94107",Order for Layered Oversized Joggers & Pants
12,105,98,10,3,4500.0,13500.0,5,675.0,8,1026.0,13851.0,Debit Card,Completed,2024-02-02,2024-02-02 21:21:43.217995,2024-02-07 21:21:43.217995,"5786 Drew Road Apt. 879, North Heathertown, ID 15970",Order for Textured Soft Oversize Tee
13,413,1496,21,2,3500.0,7000.0,5,350.0,8,532.0,7182.0,Credit Card,Completed,2024-08-28,2024-08-28 09:46:06.528109,2024-09-02 09:46:06.528109,"715 Kristina Square Suite 223, Timothymouth, AR 53215",Order for Essential Heritage Sweatshirts
14,109,1469,18,1,5000.0,5000.0,15,750.0,8,340.0,4590.0,COD,Completed,2024-02-02,2024-02-02 10:45:14.175801,2024-02-08 10:45:14.175801,"214 Rebecca Forges, Harrisonborough, WV 97997",Order for Bold Chic Oversize Tee
15,248,1711,21,2,3500.0,7000.0,15,1050.0,8,476.0,6426.0,Bank Transfer,Completed,2024-01-03,2024-01-03 21:38:38.713149,2024-01-09 21:38:38.713149,"36398 Allen Square Apt. 795, Foleyport, MT 60969",Order for Smart Heritage Joggers & Pants
16,463,1298,2,3,5000.0,15000.0,0,0.0,8,1200.0,16200.0,Credit Card,Completed,2024-08-25,2024-08-25 06:32:09.079645,2024-08-27 06:32:09.079645,"37871 Ryan Forest Suite 342, Amandaberg, AR 18011",Order for Neutral Chic Track Pants
17,148,1766,15,3,2500.0,7500.0,5,375.0,8,570.0,7695.0,Bank Transfer,Completed,2024-10-17,2024-10-17 15:16:54.836246,2024-10-19 15:16:54.836246,"4329 James Mount Apt. 502, New Peter, NC 15765",Order for Rustic Rustic Polos
18,209,1267,11,3,15000.0,45000.0,0,0.0,8,3600.0,48600.0,Debit Card,Completed,2024-05-28,2024-05-28 13:23:30.997882,2024-05-30 13:23:30.997882,"8443 Conner Union Suite 772, Kellystad, NM 85205",Order for Smart Trendy Cardigans
19,434,1567,24,2,4500.0,9000.0,0,0.0,8,720.0,9720.0,Debit Card,Completed,2024-03-30,2024-03-30 13:30:33.637943,2024-04-05 13:30:33.637943,"7917 Wilkinson Stream Suite 236, Alexandraborough, WY 77837",Order for Casual Luxury Track Pants
20,257,2045,22,3,8500.0,25500.0,0,0.0,8,2040.0,27540.0,Credit Card,Completed,2024-09-26,2024-09-26 01:51:39.660133,2024-09-30 01:51:39.660133,"607 Amy Mission Suite 297, Andreaside, IN 92391",Order for Textured Refined Coats
21,260,831,13,1,4000.0,4000.0,15,600.0,8,272.0,3672.0,COD,Completed,2024-08-31,2024-08-31 17:35:02.005277,2024-09-07 17:35:02.005277,"17207 Kathryn Mission, Port Janice, AZ 81558",Order for Dynamic Chic Tanks
22,293,1291,7,3,5000.0,15000.0,0,0.0,8,1200.0,16200.0,Bank Transfer,Completed,2024-02-09,2024-02-09 23:55:39.255126,2024-02-14 23:55:39.255126,"1084 Mccoy Mews, New Jason, OR 99078",Order for Tailored Bright T-Shirts
23,300,1974,4,1,10000.0,10000.0,0,0.0,8,800.0,10800.0,COD,Completed,2024-01-31,2024-01-31 22:03:36.513322,2024-02-06 22:03:36.513322,"738 Mathis Court Suite 114, Lindastad, GU 92579",Order for Urban Dynamic Blazers
24,343,1009,3,2,11000.0,22000.0,0,0.0,8,1760.0,23760.0,Bank Transfer,Completed,2024-08-02,2024-08-02 19:59:56.445498,2024-08-08 19:59:56.445498,"948 Taylor Centers, Lake Mike, GA 32253",Order for Rustic Oversized Kimono
25,292,1339,5,1,15000.0,15000.0,0,0.0,8,1200.0,16200.0,Credit Card,Completed,2024-06-17,2024-06-17 16:13:41.942000,2024-06-20 16:13:41.942000,"68466 Daniel Fords Suite 830, Janetland, TN 84643",Order for Vintage Relaxed Hoodies & Jackets
26,226,1025,7,2,4500.0,9000.0,5,450.0,8,684.0,9234.0,Bank Transfer,Pending,2024-06-27,2024-06-27 16:17:20.427064,2024-07-02 16:17:20.427064,"830 Shawn Center Apt. 903, Chaneyfurt, OK 16545",Order for Vintage Chic Track Pants
