transaction_id,user_id,product_id,shop_id,quantity,unit_price,total_amount,discount_percent,discount_amount,tax_percent,tax_amount,final_amount,payment_method,transaction_status,transaction_date,transaction_ts,delivery_date,delivery_address,notes
1,428,1671,1671,2,2500.0,5000.0,10,500.0,8,360.0,4860.0,Debit Card,Completed,2024-03-28,2024-03-28 15:07:06.244063,2024-04-02 15:07:06.244063,"73969 Sonia Greens, Taylorborough, NV 75757",Order for Edgy Wide Leg Polos
2,209,387,387,2,2500.0,5000.0,0,0.0,8,400.0,5400.0,Credit Card,Completed,2024-07-24,2024-07-24 15:50:58.253247,2024-07-26 15:50:58.253247,"8443 Conner Union Suite 772, Kellystad, NM 85205",Order for Retro Smart Tanks
3,488,1038,1038,3,8000.0,24000.0,0,0.0,8,1920.0,25920.0,Digital Wallet,Completed,2024-09-30,2024-09-30 10:07:37.551146,2024-10-05 10:07:37.551146,"Unit 7811 Box 6718, DPO AA 90446",Order for Heritage Retro Kimono
4,196,1038,1038,3,8000.0,24000.0,0,0.0,8,1920.0,25920.0,Digital Wallet,Completed,2022-09-26,2022-09-26 12:28:53.521022,2022-10-03 12:28:53.521022,"00320 Michael Crescent, Hardychester, VA 43123",Order for Heritage Retro Kimono
6,189,964,964,2,8000.0,16000.0,0,0.0,8,1280.0,17280.0,COD,Completed,2023-10-03,2023-10-03 11:58:59.330475,2023-10-06 11:58:59.330475,"8073 Alex Common Suite 225, Lake Tammy, CT 90169",Order for Soft Tailored Hoodies & Jackets
8,345,1292,1292,3,4500.0,13500.0,0,0.0,8,1080.0,14580.0,Credit Card,Completed,2023-02-22,2023-02-22 23:21:43.317827,2023-02-24 23:21:43.317827,"222 Mcclain Meadow Apt. 444, East Cathy, RI 09105",Order for Lightweight Statement Chinos
9,368,1050,1050,1,3000.0,3000.0,0,0.0,8,240.0,3240.0,Bank Transfer,Completed,2022-08-17,2022-08-17 04:06:45.085448,2022-08-21 04:06:45.085448,"2177 Benjamin Burgs, East Joseland, PA 05537",Order for nan
11,375,957,957,2,14500.0,29000.0,0,0.0,8,2320.0,31320.0,Credit Card,Completed,2023-07-30,2023-07-30 14:45:58.980154,2023-08-03 14:45:58.980154,"7520 Harmon Key, Hoopermouth, FM 14296",Order for Neutral Trendy Hoodies & Jackets
13,133,1807,1807,3,12000.0,36000.0,0,0.0,8,2880.0,38880.0,Debit Card,Completed,2022-07-04,2022-07-04 22:29:56.897437,2022-07-09 22:29:56.897437,"753 Dean Green, Tracybury, TN 11376",Order for Relaxed Heritage Cardigans
14,319,758,758,3,3000.0,9000.0,5,450.0,8,684.0,9234.0,COD,Completed,2024-07-12,2024-07-12 01:30:33.638708,2024-07-18 01:30:33.638708,"0402 Rush Flats, New Nicholas, OK 77929",Order for Soft Elegant Oversize Tee
15,331,1829,1829,2,3500.0,7000.0,0,0.0,8,560.0,7560.0,COD,Completed,2024-08-10,2024-08-10 12:49:55.153002,2024-08-14 12:49:55.153002,"67290 Antonio Mills Suite 804, South Kim, NM 15241",Order for Camo Essential Beach Wear
16,96,1093,1093,3,2500.0,7500.0,0,0.0,8,600.0,8100.0,Bank Transfer,Completed,2024-08-10,2024-08-10 04:47:36.982109,2024-08-17 04:47:36.982109,"34286 Nicole Mountain, West Robert, DE 78433",Order for nan
17,465,466,466,3,9500.0,28500.0,0,0.0,8,2280.0,30780.0,COD,Completed,2022-01-03,2022-01-03 10:21:29.032268,2022-01-09 10:21:29.032268,"289 Laura Ford, West Michele, ID 81551",Order for Neutral Vintage Utility Pants
18,302,1246,1246,1,12000.0,12000.0,0,0.0,8,960.0,12960.0,Credit Card,Completed,2023-08-13,2023-08-13 11:12:11.367447,2023-08-16 11:12:11.367447,"6211 Darryl Light, Lake Zachary, GU 53838",Order for Comfy Casual Hoodies & Jackets
19,277,996,996,1,2500.0,2500.0,0,0.0,8,200.0,2700.0,Bank Transfer,Completed,2023-01-21,2023-01-21 23:02:39.299236,2023-01-27 23:02:39.299236,"382 John Hills, Blairfurt, PR 49957",Order for Luxury Functional T-Shirts
20,450,508,508,3,14000.0,42000.0,0,0.0,8,3360.0,45360.0,COD,Completed,2022-07-18,2022-07-18 07:54:49.241403,2022-07-23 07:54:49.241403,"34115 Benjamin Fork, Rubenland, KY 35071",Order for Retro Neutral Utility Pants
21,152,2368,2368,3,3500.0,10500.0,10,1050.0,8,756.0,10206.0,COD,Completed,2023-07-16,2023-07-16 03:21:15.236345,2023-07-23 03:21:15.236345,"883 Mata Corner, Christensenville, CA 74727",Order for Modern Retro Shorts
22,138,1139,1139,3,6000.0,18000.0,0,0.0,8,1440.0,19440.0,Credit Card,Completed,2023-03-13,2023-03-13 04:53:32.529577,2023-03-17 04:53:32.529577,"1923 Huynh Club Apt. 445, Myersview, CA 37410",Order for Tailored Essential Chinos
23,17,622,622,1,8000.0,8000.0,0,0.0,8,640.0,8640.0,Credit Card,Completed,2024-09-02,2024-09-02 14:35:22.249238,2024-09-08 14:35:22.249238,"6959 Robin Underpass Apt. 046, Whitestad, UT 00507",Order for Classic Textured Kimono
24,439,562,562,2,4000.0,8000.0,0,0.0,8,640.0,8640.0,Credit Card,Completed,2022-12-25,2022-12-25 20:31:22.650067,2023-01-01 20:31:22.650067,"61338 Smith Way, Saraport, ND 09508",Order for Edgy Edgy Shorts
25,93,976,976,3,15000.0,45000.0,0,0.0,8,3600.0,48600.0,Credit Card,Completed,2023-07-20,2023-07-20 07:08:03.403822,2023-07-22 07:08:03.403822,"USNV Miranda, FPO AP 13607",Order for Functional Minimalist Cardigans
26,132,1199,1199,2,15000.0,30000.0,0,0.0,8,2400.0,32400.0,Credit Card,Completed,2024-04-24,2024-04-24 04:10:39.385005,2024-04-27 04:10:39.385005,"6785 Leah Burgs, Shermanside, NV 89009",Order for Textured Layered Denim Jackets
29,170,1780,1780,1,10500.0,10500.0,0,0.0,8,840.0,11340.0,Credit Card,Completed,2022-02-03,2022-02-03 03:40:01.552167,2022-02-07 03:40:01.552167,"328 Thompson Plain, South Stephanie, AZ 22746",Order for Retro Refined Coats
