user_id,name,email,phone,shipping_address,signup_ts,is_active,_ingestion_ts,_source_file,_ingestion_date
1.0,Christian Carter,abarnett@example.com,,,2024-06-08,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
2.0,Pedro Burton,daisy23@example.org,+1-347-816-2226,,2024-08-23,False,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
3.0,Bryan Ross,jeffreysparks@example.org,713.856.0974x95,"23191 Tonya Court Suite 106, West Brandon, MI 79827",2024-07-05,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
4.0,Sara Nunez,lisa81@example.com,+1-780-726-3058,"Unit 5107 Box 0248, DPO AE 86541",2022-10-22,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
5.0,Rachel Randall DDS,cobbshari@example.org,4088291592,"6103 Samuel Greens, Jamesfort, MH 13339",2022-08-09,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
6.0,Jennifer Torres,johnsonjohn@example.com,001-685-952-213,"8017 Webster Forks, North Alexanderport, NV 74221",2023-12-26,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
7.0,Christine Martin,hartdawn@example.org,730-375-4897,"9257 Russell Green, West Bradleyville, TN 91807",2022-06-22,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
8.0,Steve Johnston,hwall@example.net,,"908 Mccann Ford Suite 179, Williamton, OH 93238",2023-07-10,False,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
9.0,Laurie Manning,smendoza@example.net,,"PSC 9387, Box 5512, APO AE 47163",2023-09-11,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
10.0,Brian Martinez,omiller@example.net,(759)586-1895,"086 Michelle Burgs Suite 274, Hilltown, IN 98804",2023-08-11,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
11.0,Jacob Henson,michael41@example.org,001-330-365-682,"2875 Kendra Union Apt. 291, Alyssaberg, IN 19451",2023-09-19,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
12.0,Jesus Johnson,smithrebecca@example.org,(837)751-1413x6,"560 Douglas Fords Suite 966, Owensstad, LA 67229",2022-04-01,False,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
13.0,Damon Moore,travis98@example.org,001-863-872-352,"549 Douglas Greens, Lake Annshire, MN 83044",2023-12-11,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
14.0,Deborah Smith,myoung@example.com,(405)642-8963x6,"USCGC Reyes, FPO AA 24696",2023-02-01,True,2026-01-05 15:19:13.325201,users_dataset.csv,2026-01-05
