user_id,name,email,phone,shipping_address,signup_ts,is_active,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score,email_domain,user_created_year,_enriched_at
1.0,christian carter,abarnett@example.com,,,2024-06-08,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.com,,2026-03-10T02:08:42.911139
2.0,pedro burton,daisy23@example.org,+1-347-816-2226,,2024-08-23,False,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.org,,2026-03-10T02:08:42.911139
3.0,bryan ross,jeffreysparks@example.org,713.856.0974x95,"23191 tonya court suite 106, west brandon, mi 79827",2024-07-05,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.org,,2026-03-10T02:08:42.911139
4.0,sara nunez,lisa81@example.com,+1-780-726-3058,"unit 5107 box 0248, dpo ae 86541",2022-10-22,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.com,,2026-03-10T02:08:42.911139
5.0,rachel randall dds,cobbshari@example.org,4088291592,"6103 samuel greens, jamesfort, mh 13339",2022-08-09,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.org,,2026-03-10T02:08:42.911139
6.0,jennifer torres,johnsonjohn@example.com,001-685-952-213,"8017 webster forks, north alexanderport, nv 74221",2023-12-26,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.com,,2026-03-10T02:08:42.911139
7.0,christine martin,hartdawn@example.org,730-375-4897,"9257 russell green, west bradleyville, tn 91807",2022-06-22,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.org,,2026-03-10T02:08:42.911139
8.0,steve johnston,hwall@example.net,,"908 mccann ford suite 179, williamton, oh 93238",2023-07-10,False,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.net,,2026-03-10T02:08:42.911139
9.0,laurie manning,smendoza@example.net,,"psc 9387, box 5512, apo ae 47163",2023-09-11,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.net,,2026-03-10T02:08:42.911139
10.0,brian martinez,omiller@example.net,(759)586-1895,"086 michelle burgs suite 274, hilltown, in 98804",2023-08-11,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.net,,2026-03-10T02:08:42.911139
11.0,jacob henson,michael41@example.org,001-330-365-682,"2875 kendra union apt. 291, alyssaberg, in 19451",2023-09-19,True,2025-11-30 20:16:12.560496,users_dataset.csv,2025-11-30,2025-11-30T15:05:40.677513,98,example.org,,2026-03-10T02:08:42.911139
