user_id,name,email,phone,shipping_address,signup_ts,is_active
1,Christian Carter,abarnett@example.com,UNKNOWN_PHONE,ADDRESS_NOT_PROVIDED,2025-10-16,True
2,Pedro Burton,daisy23@example.org,+1-347-816-2226,ADDRESS_NOT_PROVIDED,2025-12-31,False
3,Bryan Ross,jeffreysparks@example.org,713.856.0974x95,"23191 Tonya Court Suite 106, West Brandon, MI 79827",2025-11-12,True
4,Sara Nunez,lisa81@example.com,+1-780-726-3058,"Unit 5107 Box 0248, DPO AE 86541",2024-02-29,True
5,Rachel Randall DDS,cobbshari@example.org,4088291592,"6103 Samuel Greens, Jamesfort, MH 13339",2023-12-17,True
6,Jennifer Torres,johnsonjohn@example.com,001-685-952-213,"8017 Webster Forks, North Alexanderport, NV 74221",2025-05-04,True
7,Christine Martin,hartdawn@example.org,730-375-4897,"9257 Russell Green, West Bradleyville, TN 91807",2023-10-30,True
8,Steve Johnston,hwall@example.net,UNKNOWN_PHONE,"908 Mccann Ford Suite 179, Williamton, OH 93238",2024-11-16,False
9,Laurie Manning,smendoza@example.net,UNKNOWN_PHONE,"PSC 9387, Box 5512, APO AE 47163",2025-01-18,True
10,Brian Martinez,omiller@example.net,(759)586-1895,"086 Michelle Burgs Suite 274, Hilltown, IN 98804",2024-12-18,True
11,Jacob Henson,michael41@example.org,001-330-365-682,"2875 Kendra Union Apt. 291, Alyssaberg, IN 19451",2025-01-26,True
12,Jesus Johnson,smithrebecca@example.org,(837)751-1413x6,"560 Douglas Fords Suite 966, Owensstad, LA 67229",2023-08-09,False
13,Damon Moore,travis98@example.org,001-863-872-352,"549 Douglas Greens, Lake Annshire, MN 83044",2025-04-19,True
14,Deborah Smith,myoung@example.com,(405)642-8963x6,"USCGC Reyes, FPO AA 24696",2024-06-10,True
15,Nicole Harris,morrisshannon@example.com,507.956.7103x48,"7346 Mendez Neck, Dustintown, VI 19432",2024-02-04,True
16,Jennifer Brown,adamsamy@example.org,555-820-8409x98,"71259 Stevens Well Suite 049, Johnmouth, LA 37745",2024-06-04,True
17,Ryan Lowery,parrishaaron@example.org,398.989.8868,"6959 Robin Underpass Apt. 046, Whitestad, UT 00507",2024-02-16,True
18,Matthew Smith,kennedyvictoria@example.org,001-322-821-661,"PSC 2648, Box 9157, APO AP 22344",2025-11-28,True
19,Brian Flowers,edwardskristen@example.net,+1-444-717-1576,"3743 Kristen Motorway Suite 202, East Jennifertown, SC 47907",2023-05-11,True
20,Nicholas Kent,imueller@example.com,(509)537-8589x6,"6554 Eric Union Suite 994, Hessfort, WI 90807",2024-01-10,True
21,Ryan Norton,bmaxwell@example.org,2139856953,"8153 Alan Mills, Katieside, MO 43065",2025-04-28,True
22,Zachary Thompson,hartmancory@example.org,657.805.0613,"59182 Reid Square, New Rodney, CO 15693",2024-10-12,True
23,Mark Hudson,lyonschristy@example.com,001-203-970-110,"748 Christensen Rue Suite 849, Michaelburgh, SC 39823",2025-03-27,True
24,Timothy Zhang,connie65@example.net,(627)632-5814,"27302 Day Stream Suite 138, East Brucehaven, MA 35457",2025-08-18,True
25,Betty Terry,navarrokimberly@example.com,+1-892-670-4206,"PSC 8413, Box 0366, APO AP 26238",2024-09-10,True
26,Ruben Garcia,gallen@example.net,+1-407-281-0157,"253 Katelyn Station, East Carla, IA 41755",2024-02-23,True
27,Ashley Compton,osmith@example.com,5107035142,"2464 Jimmy Harbor, Lake Andrea, WA 42286",2023-06-05,True
28,Joshua Gallagher,banksjesus@example.org,001-871-677-179,"96263 Joshua Port, West Darryl, DC 12661",2025-05-18,True
29,Brian Freeman,ithomas@example.net,001-658-843-905,"634 Tyler Forks Apt. 009, Susanside, PA 48272",2023-07-31,True
30,Shawn Wiggins,rreed@example.net,795-584-0936x80,"62872 Jessica Shores, West Michaelstad, KY 40636",2024-09-01,True
31,Keith Todd,nicholas16@example.org,UNKNOWN_PHONE,"8179 Douglas Lake Apt. 162, South Rhondashire, RI 66058",2024-07-01,True
32,Madeline Johnson,nwhite@example.org,6462593286,"Unit 4600 Box 3819, DPO AA 07423",2025-05-15,True
33,Ms. Kathryn Morris,chadgaines@example.org,(690)213-5731,"9796 Stewart Well Suite 348, Lake Kevin, NY 80970",2024-07-07,True
34,Joshua Stewart,andrew64@example.org,001-298-511-399,"426 Snyder Turnpike Suite 000, Rosalesview, AR 17868",2024-11-18,False
